group,config,method,epoch,trainable_params,pct_of_qwen,train_loss,eval_loss,distinct_1,distinct_2,distinct_2_tok,self_distinct_2,combined_distinct_2,bertscore_post_P,bertscore_post_F1,bertscore_ref_F1,ppl_comments,ppl_wiki,len_mean,comb_dist_per_len,judge_acc,judge_correct,judge_total
PEFT,qwen_lora_r16_ep3,"LoRA r16 (q,v)",3,1081344,0.2189,3.0986523628234863,3.206120729446411,0.4938980617372577,0.8793503480278422,0.7301013024602026,0.967467585127049,0.7063493439892854,0.6328458189964294,0.5858209729194641,0.62052321434021,24.72,36.92,11.6061,0.4276,0.4842105263157895,46,95
PEFT,qwen_lora_r16_ep4,"LoRA r16 (q,v)",4,1081344,0.2189,3.041317939758301,3.2011213302612305,0.48349514563106794,0.8906574394463668,0.7535702424443707,0.9787961055257786,0.7375916185446667,0.6457345485687256,0.5972923040390015,0.6220044493675232,24.75,45.18,13.5152,0.4736,0.4842105263157895,46,95
PEFT,qwen_lora_r16_ep5,"LoRA r16 (q,v)",5,1081344,0.2189,2.994208812713623,3.2051918506622314,0.5126227208976157,0.9004524886877828,0.7525519183386131,0.9704231943471342,0.7302938365062206,0.6407702565193176,0.5930966734886169,0.620682954788208,24.99,70.59,11.6364,0.4305,0.4631578947368421,44,95
PEFT,qwen_lora_r16_ep6,"LoRA r16 (q,v)",6,1081344,0.2189,2.957265853881836,3.217233657836914,0.5111430625449317,0.900852052672347,0.7874104787033547,0.9825260742003659,0.7736513264246379,0.641417920589447,0.5925012826919556,0.6224191188812256,25.26,76.2,13.3131,0.4619,0.42105263157894735,40,95
PEFT,qwen_lora_r16_ep7,"LoRA r16 (q,v)",7,1081344,0.2189,2.937594413757324,3.2274041175842285,0.5003615328994938,0.8932190179267342,0.7736862293824319,0.9821448642426778,0.7598719567232378,0.6425257325172424,0.5926845073699951,0.6239064931869507,25.41,73.83,12.8283,0.4588,0.47368421052631576,45,95
PEFT,qwen_lora_r16_ep8,"LoRA r16 (q,v)",8,1081344,0.2189,2.921020269393921,3.232279062271118,0.5082319255547602,0.9005397070161912,0.7626058152373942,0.9757087314599373,0.7440811525892492,0.6420498490333557,0.5931802988052368,0.6244679093360901,25.46,77.21,13.303,0.4886,0.4,38,95
PEFT,qwen_lora_r32_ep1,"LoRA r32 (q,v)",1,2162688,0.4378,3.2930610179901123,,0.5047272727272727,0.8933333333333333,0.7458563535911602,0.9838960315636707,0.7338451064148924,0.6367112994194031,0.5877416133880615,0.6162209510803223,25.16,19.4,13.3854,0.4623,0.5869565217391305,54,92
PEFT,qwen_lora_r32_ep2,"LoRA r32 (q,v)",2,2162688,0.4378,3.1368401050567627,3.222111940383911,0.480225988700565,0.8580040187541862,0.7354152367879204,0.9692621720723664,0.7128101697841734,0.6375677585601807,0.5881667733192444,0.6189492344856262,24.53,22.48,13.8673,0.5224,0.4946236559139785,46,93
PEFT,qwen_lora_r32_ep3,"LoRA r32 (q,v)",3,2162688,0.4378,3.036592483520508,3.195988416671753,0.48409669211195927,0.8879076086956522,0.7165845648604269,0.9677537129348882,0.6934773732755093,0.6373608112335205,0.5909673571586609,0.6210111379623413,24.64,29.92,11.9394,0.4202,0.5263157894736842,50,95
PEFT,qwen_lora_r32_ep4,"LoRA r32 (q,v)",4,2162688,0.4378,2.952223300933838,3.2008612155914307,0.492984693877551,0.8923705722070845,0.7193098871930989,0.9732426959038434,0.700063093802101,0.6370343565940857,0.5908206105232239,0.617174506187439,24.94,31.93,11.899,0.4104,0.37894736842105264,36,95
PEFT,qwen_lora_r32_ep5,"LoRA r32 (q,v)",5,2162688,0.4378,2.877858877182007,3.2188332080841064,0.5083836351441985,0.8964773544212796,0.734181568088033,0.9607028239510822,0.7053303057550071,0.6433590054512024,0.5949337482452393,0.6202265024185181,25.53,55.43,10.6566,0.3699,0.43157894736842106,41,95
PEFT,qwen_lora_r32_ep6,"LoRA r32 (q,v)",6,2162688,0.4378,2.8174896240234375,3.2469701766967773,0.5305980528511822,0.9192825112107623,0.7817986384808312,0.9791119931221136,0.7654684231431214,0.6457995772361755,0.5956051349639893,0.6227706074714661,26.06,48.65,12.5758,0.4785,0.4631578947368421,44,95
PEFT,qwen_lora_r32_ep7,"LoRA r32 (q,v)",7,2162688,0.4378,2.7819619178771973,3.2634146213531494,0.5236530880420499,0.9177215189873418,0.7749576988155669,0.9763771934744284,0.7566510230309446,0.6461285948753357,0.597999095916748,0.6211891174316406,26.48,50.55,12.8788,0.4874,0.4,38,95
PEFT,qwen_lora_r32_ep8,"LoRA r32 (q,v)",8,2162688,0.4378,2.7573137283325195,3.2785680294036865,0.5339485827290705,0.9308398023994354,0.7920892494929006,0.9806194389724755,0.7767381154538574,0.647297203540802,0.5993785262107849,0.6214025020599365,26.69,53.03,13.0101,0.4685,0.45263157894736844,43,95
PEFT,qwen_lora_fan_ep1,"LoRA Attn (q,k,v,o)",1,1081344,0.2189,3.2278095703125,,0.5062050947093403,0.9042627533193571,0.7196382428940569,0.9654857701141643,0.6948004831441725,0.63959139585495,0.5940097570419312,0.6203687787055969,23.7,19.6,,,0.5425531914893617,51,94
PEFT,qwen_lora_fan_ep2,"LoRA Attn (q,k,v,o)",2,1081344,0.2189,2.980993896484375,3.161651372909546,0.502112676056338,0.8757575757575757,0.7304008513657325,0.969287860734144,0.7079686786986883,0.6387419104576111,0.5904760360717773,0.6203399896621704,23.75,23.35,,,0.45263157894736844,43,95
